389,478
389,479
388,480
389,480
388,481
389,481
390,481
391,481
387,482
388,482
389,482
390,482
391,482
387,483
388,483
389,483
390,483
391,483
387,484
388,484
389,484
390,484
391,484
387,485
388,485
389,485
390,485
391,485
387,486
388,486
389,486
390,486
391,486
387,487
388,487
389,487
390,487
391,487
387,488
388,488
389,488
390,488
391,488
387,489
388,489
389,489
390,489
391,489
387,490
388,490
389,490
390,490
391,490
387,491
388,491
389,491
390,491
391,491
387,492
388,492
389,492
390,492
391,492
385,493
386,493
387,493
388,493
389,493
390,493
391,493
385,494
386,494
387,494
388,494
389,494
390,494
391,494
385,495
386,495
387,495
388,495
389,495
390,495
391,495
384,496
385,496
386,496
387,496
388,496
389,496
390,496
391,496
384,497
385,497
386,497
387,497
388,497
389,497
390,497
391,497
383,498
384,498
385,498
386,498
387,498
388,498
389,498
390,498
391,498
383,499
384,499
385,499
386,499
387,499
388,499
389,499
390,499
391,499
384,500
385,500
386,500
387,500
388,500
389,500
390,500
391,500
385,501
386,501
387,501
388,501
389,501
390,501
391,501
387,502
388,502
389,502
390,502
391,502
388,503
390,503
391,503
390,504
391,504
390,505
391,505
391,506
391,507
391,508
391,509
